Position,Location,Gender,Education,Experience (Years),Salary,Salary_in_LPA,Combined_Tokens
Research Analyst,Bengaluru,Female,B.Tech/B.E.,27,1000000,10LPA,"['research', 'analyst', 'bengaluru', '1000000 salary', '27 experience (years)']"
"HR, BA, Data Science",Chennai,Male,B.Tech/B.E.,10,1800000,18LPA,"['hr', 'ba', 'data', 'science', 'chennai', '1800000 salary', '10 experience (years)']"
Python Backend,Noida,Male,B.Tech/B.E.,8,1700000,17LPA,"['python', 'backend', 'noida', '1700000 salary', '8 experience (years)']"
Python Backend,Mumbai,Male,B.Tech/B.E.,18,700000,7LPA,"['python', 'backend', 'mumbai', '700000 salary', '18 experience (years)']"
Python Backend,New Delhi,Male,B.Tech/B.E.,6,1900000,19LPA,"['python', 'backend', 'new', 'delhi', '1900000 salary', '6 experience (years)']"
Python Backend,Visakhapatnam,Male,B.Sc,26,1100000,11LPA,"['python', 'backend', 'visakhapatnam', '1100000 salary', '26 experience (years)']"
IOS Developer,Mohali,Female,B.Sc,5,1000000,10LPA,"['ios', 'developer', 'mohali', '1000000 salary', '5 experience (years)']"
Python Backend,Bengaluru,Male,B.Sc,20,1000000,10LPA,"['python', 'backend', 'bengaluru', '1000000 salary', '20 experience (years)']"
ServiceNow,Kolkata,Male,B.A,5,2400000,24LPA,"['servicenow', 'kolkata', '2400000 salary', '5 experience (years)']"
Python Backend,Bengaluru,Female,B.Com,11,500000,5LPA,"['python', 'backend', 'bengaluru', '500000 salary', '11 experience (years)']"
Python Backend,Kanpur,Male,B.Com,10,1900000,19LPA,"['python', 'backend', 'kanpur', '1900000 salary', '10 experience (years)']"
Computer Vision,Bengaluru,Female,B.Com,9,2100000,21LPA,"['computer', 'vision', 'bengaluru', '2100000 salary', '9 experience (years)']"
Data Science,Gurugram,Male,B.Sc,25,1000000,10LPA,"['data', 'science', 'gurugram', '1000000 salary', '25 experience (years)']"
Data Science+ ML,Lucknow,Male,B.Com,14,2400000,24LPA,"['data', 'ml', 'lucknow', '2400000 salary', '14 experience (years)']"
Research Analyst,Gurugram,Male,B.Tech/B.E.,12,1600000,16LPA,"['research', 'analyst', 'gurugram', '1600000 salary', '12 experience (years)']"
Data Science,Nagpur,Female,B.Tech/B.E.,17,600000,6LPA,"['data', 'science', 'nagpur', '600000 salary', '17 experience (years)']"
Data Science,Bengaluru,Female,B.Tech/B.E.,13,1000000,10LPA,"['data', 'science', 'bengaluru', '1000000 salary', '13 experience (years)']"
Hr data business analyst (BA),Nagpur,Male,B.Com,21,2200000,22LPA,"['hr', 'data', 'business', 'analyst', 'ba', 'nagpur', '2200000 salary', '21 experience (years)']"
IOS Developer,Pune,Female,B.B.A/ B.M.S,27,2200000,22LPA,"['ios', 'developer', 'pune', '2200000 salary', '27 experience (years)']"
ServiceNow,New Delhi,Male,B.Sc,12,2100000,21LPA,"['servicenow', 'new', 'delhi', '2100000 salary', '12 experience (years)']"
Hr data business analyst (BA),New Delhi,Female,B.Tech/B.E.,6,1400000,14LPA,"['hr', 'data', 'business', 'analyst', 'ba', 'new', 'delhi', '1400000 salary', '6 experience (years)']"
Python Backend,New Delhi,Male,Diploma,22,1800000,18LPA,"['python', 'backend', 'diploma', 'new', 'delhi', '1800000 salary', '22 experience (years)']"
Hr data business analyst (BA),Gudivada,Male,B.B.A/ B.M.S,15,1900000,19LPA,"['hr', 'data', 'business', 'analyst', 'ba', 'gudivada', '1900000 salary', '15 experience (years)']"
Data Science+ Computer Vision,New Delhi,Male,BCA,21,1800000,18LPA,"['data', 'computer', 'vision', 'bca', 'new', 'delhi', '1800000 salary', '21 experience (years)']"
python + data science,Siliguri,Male,B.Sc,11,700000,7LPA,"['python', 'data', 'science', 'siliguri', '700000 salary', '11 experience (years)']"
Data Science,nioda - Uttar Pradesh,Female,B.Tech/B.E.,10,1900000,19LPA,"['data', 'science', 'nioda', 'uttar', 'pradesh', '1900000 salary', '10 experience (years)']"
Data Science,Noida,Female,B.Com,8,1000000,10LPA,"['data', 'science', 'noida', '1000000 salary', '8 experience (years)']"
AWS Databricks,Mumbai,Female,B.Tech/B.E.,19,1700000,17LPA,"['aws', 'databricks', 'mumbai', '1700000 salary', '19 experience (years)']"
ELK Engineer+ Full Stack,New Delhi,Male,B.Com,19,2100000,21LPA,"['elk', 'full', 'stack', 'new', 'delhi', '2100000 salary', '19 experience (years)']"
Research Analyst,Hyderabad,Female,Mtech,10,2400000,24LPA,"['research', 'analyst', 'mtech', 'hyderabad', '2400000 salary', '10 experience (years)']"
RPA Developer,Pune,Male,B.A,20,700000,7LPA,"['rpa', 'developer', 'pune', '700000 salary', '20 experience (years)']"
python with computer vision,New Delhi,Female,B.Tech/B.E.,25,1700000,17LPA,"['python', 'with', 'computer', 'vision', 'new', 'delhi', '1700000 salary', '25 experience (years)']"
Research Analyst,Noida,Male,B.Sc,19,600000,6LPA,"['research', 'analyst', 'noida', '600000 salary', '19 experience (years)']"
Data Engineer,Noida,Female,B.Tech/B.E.,14,1400000,14LPA,"['data', 'engineer', 'noida', '1400000 salary', '14 experience (years)']"
Research Analyst,Gurugram,Male,B.Sc,21,1600000,16LPA,"['research', 'analyst', 'gurugram', '1600000 salary', '21 experience (years)']"
IOS Developer,New Delhi,Male,B.Com,10,600000,6LPA,"['ios', 'developer', 'new', 'delhi', '600000 salary', '10 experience (years)']"
Data Science,Jaipur,Female,B.Com,16,1200000,12LPA,"['data', 'science', 'jaipur', '1200000 salary', '16 experience (years)']"
python + computer vision,Kolkata,Female,,15,2000000,20LPA,"['python', 'computer', 'vision', 'kolkata', '2000000 salary', '15 experience (years)']"
Hr data business analyst (BA),Indore,Female,B.Tech/B.E.,23,1000000,10LPA,"['hr', 'data', 'business', 'analyst', 'ba', 'indore', '1000000 salary', '23 experience (years)']"
ServiceNow,Bengaluru,Male,B.Sc,17,1400000,14LPA,"['servicenow', 'bengaluru', '1400000 salary', '17 experience (years)']"
Data Science,Hyderabad,Female,B.Tech/B.E.,6,600000,6LPA,"['data', 'science', 'hyderabad', '600000 salary', '6 experience (years)']"
Research Analyst,Mumbai,Male,B.Sc,21,2100000,21LPA,"['research', 'analyst', 'mumbai', '2100000 salary', '21 experience (years)']"
python + data science,Noida,Male,BCA,13,1100000,11LPA,"['python', 'data', 'science', 'bca', 'noida', '1100000 salary', '13 experience (years)']"
Linux +C,Bilaspur,Female,B.Sc,21,1400000,14LPA,"['linux', 'c', 'bilaspur', '1400000 salary', '21 experience (years)']"
Linux +C,New Delhi,Male,B.Tech/B.E.,22,1100000,11LPA,"['linux', 'c', 'new', 'delhi', '1100000 salary', '22 experience (years)']"
AML Triage Analyst,Pune,Male,B.Tech/B.E.,16,2000000,20LPA,"['aml', 'triage', 'analyst', 'pune', '2000000 salary', '16 experience (years)']"
Hr data business analyst (BA),New Delhi,Male,Diploma,15,900000,9LPA,"['hr', 'data', 'business', 'analyst', 'ba', 'diploma', 'new', 'delhi', '900000 salary', '15 experience (years)']"
python + data science,Noida,Male,B.Tech/B.E.,7,1900000,19LPA,"['python', 'data', 'science', 'noida', '1900000 salary', '7 experience (years)']"
Research Analyst,Pune,Female,BCA,22,2500000,25LPA,"['research', 'analyst', 'bca', 'pune', '2500000 salary', '22 experience (years)']"
Research Analyst,Hyderabad,Male,B.Tech/B.E.,25,500000,5LPA,"['research', 'analyst', 'hyderabad', '500000 salary', '25 experience (years)']"
Research Analyst,"Mumbai, Maharashtra, pune - Maharashtra",Male,B.A,10,1100000,11LPA,"['research', 'analyst', 'mumbai', 'maharashtra', 'pune', 'maharashtra', '1100000 salary', '10 experience (years)']"
Research Analyst,Kolkata,Male,B.Tech/B.E.,26,2100000,21LPA,"['research', 'analyst', 'kolkata', '2100000 salary', '26 experience (years)']"
Research Analyst,Navi Mumbai,Male,B.Tech/B.E.,12,1800000,18LPA,"['research', 'analyst', 'navi', 'mumbai', '1800000 salary', '12 experience (years)']"
Research Analyst,New Delhi,Female,B.A,7,1100000,11LPA,"['research', 'analyst', 'new', 'delhi', '1100000 salary', '7 experience (years)']"
Research Analyst,Guwahati,Female,B.Com,10,2300000,23LPA,"['research', 'analyst', 'guwahati', '2300000 salary', '10 experience (years)']"
ServiceNow,Bengaluru,Male,B.Com,13,1900000,19LPA,"['servicenow', 'bengaluru', '1900000 salary', '13 experience (years)']"
RPA Developer,Bengaluru,Female,Diploma,19,1700000,17LPA,"['rpa', 'developer', 'diploma', 'bengaluru', '1700000 salary', '19 experience (years)']"
Snowflake Admin,Chennai,Male,B.Com,5,2200000,22LPA,"['snowflake', 'admin', 'chennai', '2200000 salary', '5 experience (years)']"
Big Data with GCP Architect,New Delhi,Female,BCA,21,1800000,18LPA,"['big', 'data', 'with', 'gcp', 'architect', 'bca', 'new', 'delhi', '1800000 salary', '21 experience (years)']"
Maths Teacher,Bengaluru,Female,B.A,6,800000,8LPA,"['maths', 'teacher', 'bengaluru', '800000 salary', '6 experience (years)']"
ServiceNow,Gurugram,Female,BCA,21,1400000,14LPA,"['servicenow', 'bca', 'gurugram', '1400000 salary', '21 experience (years)']"
Maths Teacher,New Delhi,Male,B.Sc,20,2300000,23LPA,"['maths', 'teacher', 'new', 'delhi', '2300000 salary', '20 experience (years)']"
RPA Developer,Kolkata,Male,B.Sc,16,1400000,14LPA,"['rpa', 'developer', 'kolkata', '1400000 salary', '16 experience (years)']"
Data Scientist,Pune,Male,BCA,9,1000000,10LPA,"['data', 'scientist', 'bca', 'pune', '1000000 salary', '9 experience (years)']"
Maths Teacher,New Delhi,Male,Diploma,26,600000,6LPA,"['maths', 'teacher', 'diploma', 'new', 'delhi', '600000 salary', '26 experience (years)']"
Maths Teacher,New Delhi,Female,B.Sc,17,1600000,16LPA,"['maths', 'teacher', 'new', 'delhi', '1600000 salary', '17 experience (years)']"
Maths Teacher,New Delhi,Female,B.Tech/B.E.,5,2200000,22LPA,"['maths', 'teacher', 'new', 'delhi', '2200000 salary', '5 experience (years)']"
Maths Teacher,Nagpur,Male,LLB,24,1700000,17LPA,"['maths', 'teacher', 'llb', 'nagpur', '1700000 salary', '24 experience (years)']"
Maths Teacher,Noida,Male,B.Com,6,2400000,24LPA,"['maths', 'teacher', 'noida', '2400000 salary', '6 experience (years)']"
Maths Teacher,Mumbai,Male,B.Com,16,1400000,14LPA,"['maths', 'teacher', 'mumbai', '1400000 salary', '16 experience (years)']"
Maths Teacher,New Delhi,Male,BCA,11,2300000,23LPA,"['maths', 'teacher', 'bca', 'new', 'delhi', '2300000 salary', '11 experience (years)']"
Control Assurance,Tiruchirapalli,Male,B.A,15,1500000,15LPA,"['control', 'assurance', 'tiruchirapalli', '1500000 salary', '15 experience (years)']"
RPA Developer,Mumbai,Male,B.A,7,1400000,14LPA,"['rpa', 'developer', 'mumbai', '1400000 salary', '7 experience (years)']"
Maths Teacher,New Delhi,Male,BCA,16,1800000,18LPA,"['maths', 'teacher', 'bca', 'new', 'delhi', '1800000 salary', '16 experience (years)']"
ServiceNow,Pune,Male,B.Com,9,1900000,19LPA,"['servicenow', 'pune', '1900000 salary', '9 experience (years)']"
ServiceNow,Bengaluru,Male,B.Sc,18,2300000,23LPA,"['servicenow', 'bengaluru', '2300000 salary', '18 experience (years)']"
snow flake + oracle cloud data architect,Pune,Male,B.Com,26,2300000,23LPA,"['snow', 'flake', 'oracle', 'cloud', 'data', 'architect', 'pune', '2300000 salary', '26 experience (years)']"
Research Anlyst,Pune,Female,Diploma,18,1500000,15LPA,"['research', 'anlyst', 'diploma', 'pune', '1500000 salary', '18 experience (years)']"
GCP ADMIN,Noida,Female,,25,1100000,11LPA,"['gcp', 'admin', 'noida', '1100000 salary', '25 experience (years)']"
Maths Teacher,Bengaluru,Male,B.Com,11,2300000,23LPA,"['maths', 'teacher', 'bengaluru', '2300000 salary', '11 experience (years)']"
Data Engineer/Architect,Noida,Female,B.Com,25,1800000,18LPA,"['data', 'engineer', 'architect', 'noida', '1800000 salary', '25 experience (years)']"
IOS Developer,Dindigul,Male,B.Sc,23,2100000,21LPA,"['ios', 'developer', 'dindigul', '2100000 salary', '23 experience (years)']"
BA+ Manual Testing,Noida,Male,B.Com,22,1100000,11LPA,"['manual', 'testing', 'noida', '1100000 salary', '22 experience (years)']"
Maths Teacher,"Mumbai, Maharashtra - Maharashtra",Female,BCA,22,2400000,24LPA,"['maths', 'teacher', 'bca', 'mumbai', 'maharashtra', 'maharashtra', '2400000 salary', '22 experience (years)']"
AWS solution Architect,Bengaluru,Female,B.Tech/B.E.,7,2100000,21LPA,"['aws', 'solution', 'architect', 'bengaluru', '2100000 salary', '7 experience (years)']"
"C, C++ And Linux",Siliguri,Female,B.Tech/B.E.,28,2500000,25LPA,"['c', 'and', 'linux', 'siliguri', '2500000 salary', '28 experience (years)']"
Solution Architect,Kolkata,Male,B.Tech/B.E.,27,1700000,17LPA,"['solution', 'architect', 'kolkata', '1700000 salary', '27 experience (years)']"
AWS databricks,Hyderabad,Male,B.Com,28,1400000,14LPA,"['aws', 'databricks', 'hyderabad', '1400000 salary', '28 experience (years)']"
Maths Teacher,Bengaluru,Male,B.Tech/B.E.,22,1100000,11LPA,"['maths', 'teacher', 'bengaluru', '1100000 salary', '22 experience (years)']"
Research Anlyst,Mumbai,Male,B.Tech/B.E.,22,2400000,24LPA,"['research', 'anlyst', 'mumbai', '2400000 salary', '22 experience (years)']"
Data Engineer/Anlystics,New Delhi,Female,B.Tech/B.E.,17,1200000,12LPA,"['data', 'engineer', 'anlystics', 'new', 'delhi', '1200000 salary', '17 experience (years)']"
BA+ Manual Testing,New Delhi,Female,B.A,6,1500000,15LPA,"['manual', 'testing', 'new', 'delhi', '1500000 salary', '6 experience (years)']"
QA Automation Grafana,New Delhi,Female,BCA,27,2300000,23LPA,"['qa', 'automation', 'grafana', 'bca', 'new', 'delhi', '2300000 salary', '27 experience (years)']"
GCP DATA Engineer,Noida,Male,B.Tech/B.E.,19,1200000,12LPA,"['gcp', 'data', 'engineer', 'noida', '1200000 salary', '19 experience (years)']"
Data Engineer/Anlystics,Hyderabad,Male,B.Tech/B.E.,26,900000,9LPA,"['data', 'engineer', 'anlystics', 'hyderabad', '900000 salary', '26 experience (years)']"
Data Engineer/Anlystics,Gurugram,Female,BBA,20,800000,8LPA,"['data', 'engineer', 'anlystics', 'bba', 'gurugram', '800000 salary', '20 experience (years)']"
IOS developer,"Noida, Delhi - Uttar Pradesh",Male,B.Com,16,1200000,12LPA,"['ios', 'developer', 'noida', 'delhi', 'uttar', 'pradesh', '1200000 salary', '16 experience (years)']"
BA+ Manual Testing,Bengaluru,Male,B.Tech/B.E.,6,900000,9LPA,"['manual', 'testing', 'bengaluru', '900000 salary', '6 experience (years)']"
math faculity,Pune,Male,B.A,7,2400000,24LPA,"['math', 'faculity', 'pune', '2400000 salary', '7 experience (years)']"
Murex,Mumbai,Male,B.Sc,11,1000000,10LPA,"['murex', 'mumbai', '1000000 salary', '11 experience (years)']"
Technical lead Data Engineer,Bengaluru,Male,BCA,28,1700000,17LPA,"['technical', 'lead', 'data', 'engineer', 'bca', 'bengaluru', '1700000 salary', '28 experience (years)']"
QA Automation Grafana,Noida,Male,Diploma,10,2400000,24LPA,"['qa', 'automation', 'grafana', 'diploma', 'noida', '2400000 salary', '10 experience (years)']"
API integration Apigee,Noida,Male,B.Tech/B.E.,14,1700000,17LPA,"['api', 'integration', 'apigee', 'noida', '1700000 salary', '14 experience (years)']"
HR Data BA,Noida,Male,B.Sc,19,1200000,12LPA,"['hr', 'data', 'ba', 'noida', '1200000 salary', '19 experience (years)']"
IAM Test Analyst,Pune,Female,BCA,9,800000,8LPA,"['iam', 'test', 'analyst', 'bca', 'pune', '800000 salary', '9 experience (years)']"
Maths Teacher,Noida,Male,BCA,17,2300000,23LPA,"['maths', 'teacher', 'bca', 'noida', '2300000 salary', '17 experience (years)']"
Servicenow SecOps,New Delhi,Female,B.Tech/B.E.,23,2100000,21LPA,"['servicenow', 'secops', 'new', 'delhi', '2100000 salary', '23 experience (years)']"
Computer Vision,Navi Mumbai and pune - Maharashtra,Male,B.Tech/B.E.,16,1200000,12LPA,"['computer', 'vision', 'navi', 'mumbai', 'and', 'pune', 'maharashtra', '1200000 salary', '16 experience (years)']"
Maths Teacher,Bengaluru,Female,B.Com,15,1000000,10LPA,"['maths', 'teacher', 'bengaluru', '1000000 salary', '15 experience (years)']"
Maths Teacher,Lucknow,Male,Diploma,13,2300000,23LPA,"['maths', 'teacher', 'diploma', 'lucknow', '2300000 salary', '13 experience (years)']"
BA+ Manual Testing,Ahmedabad,Female,B.Tech/B.E.,20,600000,6LPA,"['manual', 'testing', 'ahmedabad', '600000 salary', '20 experience (years)']"
GCP Admin,Noida,Male,B.Tech/B.E.,8,900000,9LPA,"['gcp', 'admin', 'noida', '900000 salary', '8 experience (years)']"
Production support,Bengaluru,Female,B.B.A/ B.M.S,14,500000,5LPA,"['production', 'support', 'bengaluru', '500000 salary', '14 experience (years)']"
BA+ Manual Testing,New Delhi,Female,B.Sc,10,1800000,18LPA,"['manual', 'testing', 'new', 'delhi', '1800000 salary', '10 experience (years)']"
BA+ Manual Testing,Chennai,,B.A,16,1500000,15LPA,"['manual', 'testing', 'chennai', '1500000 salary', '16 experience (years)']"
Cloud security,Jamshedpur,Male,B.Tech/B.E.,17,2000000,20LPA,"['cloud', 'security', 'jamshedpur', '2000000 salary', '17 experience (years)']"
GCP DATA Engineer,Pune,Male,BCA,27,1000000,10LPA,"['gcp', 'data', 'engineer', 'bca', 'pune', '1000000 salary', '27 experience (years)']"
Cloud security,"New Delhi, Delhi, NOIDA, Pune - Delhi",Male,LLB,16,2400000,24LPA,"['cloud', 'security', 'llb', 'new', 'delhi', 'delhi', 'noida', 'pune', 'delhi', '2400000 salary', '16 experience (years)']"
Maths Teacher,New Delhi,Male,B.Com,21,2000000,20LPA,"['maths', 'teacher', 'new', 'delhi', '2000000 salary', '21 experience (years)']"
Maths Teacher,Bengaluru,Male,B.Com,15,1600000,16LPA,"['maths', 'teacher', 'bengaluru', '1600000 salary', '15 experience (years)']"
Cloud security,Bengaluru,Male,B.Sc,22,1100000,11LPA,"['cloud', 'security', 'bengaluru', '1100000 salary', '22 experience (years)']"
Cloud security,Chennai,Female,B.A,13,2400000,24LPA,"['cloud', 'security', 'chennai', '2400000 salary', '13 experience (years)']"
GCP DATA Engineer,Pune,Female,B.Com,19,1800000,18LPA,"['gcp', 'data', 'engineer', 'pune', '1800000 salary', '19 experience (years)']"
Production support,Bengaluru,Male,B.Tech/B.E.,14,2000000,20LPA,"['production', 'support', 'bengaluru', '2000000 salary', '14 experience (years)']"
QA Automation Grafana,Chennai,Male,B.Tech/B.E.,22,2300000,23LPA,"['qa', 'automation', 'grafana', 'chennai', '2300000 salary', '22 experience (years)']"
GCP Admin,Noida,Male,B.A,9,1600000,16LPA,"['gcp', 'admin', 'noida', '1600000 salary', '9 experience (years)']"
GCP Admin,Mumbai,Male,BCA,14,900000,9LPA,"['gcp', 'admin', 'bca', 'mumbai', '900000 salary', '14 experience (years)']"
"IICS, Technical Architect",New Delhi,Female,BCA,17,700000,7LPA,"['iics', 'technical', 'architect', 'bca', 'new', 'delhi', '700000 salary', '17 experience (years)']"
Cloud security,Visakhapatnam,Male,B.Tech/B.E.,14,1400000,14LPA,"['cloud', 'security', 'visakhapatnam', '1400000 salary', '14 experience (years)']"
GCP DATA Engineer,Mohali,Male,BCA,9,800000,8LPA,"['gcp', 'data', 'engineer', 'bca', 'mohali', '800000 salary', '9 experience (years)']"
Cloud security,Bengaluru,Female,B.Sc,11,1300000,13LPA,"['cloud', 'security', 'bengaluru', '1300000 salary', '11 experience (years)']"
Bigdata Eng with GCP,Kolkata,Male,B.Tech/B.E.,28,2100000,21LPA,"['bigdata', 'eng', 'with', 'gcp', 'kolkata', '2100000 salary', '28 experience (years)']"
DevSecOps Engineer,Bengaluru,Male,B.Tech/B.E.,11,2200000,22LPA,"['devsecops', 'engineer', 'bengaluru', '2200000 salary', '11 experience (years)']"
Maths Teacher,Kanpur,Female,B.Sc,21,1500000,15LPA,"['maths', 'teacher', 'kanpur', '1500000 salary', '21 experience (years)']"
DevSecOps Engineer,Bengaluru,Male,B.Com,25,1700000,17LPA,"['devsecops', 'engineer', 'bengaluru', '1700000 salary', '25 experience (years)']"
C and Linux,Gurugram,Female,B.Tech/B.E.,21,2300000,23LPA,"['c', 'and', 'linux', 'gurugram', '2300000 salary', '21 experience (years)']"
